X,Y,Z,code,type
497433.5029586914,7463335.833335101,360.06082,FA_40,syncline exposed
438208.81998732593,7605991.289962126,252.73987,FA_45,syncline exposed
439143.9806182785,7604789.2786330385,252.73987,FA_45,syncline exposed
440761.83861918654,7603077.631837951,249.8115,FA_45,syncline exposed
442995.2041910887,7601546.572965796,250.54579,FA_45,syncline exposed
443394.2667111205,7601284.543571471,259.9236,FA_45,syncline exposed
443664.60388979875,7600934.0873170085,259.9236,FA_45,syncline exposed
444346.73935907986,7600209.609507497,249.02583,FA_45,syncline exposed
444853.5263125049,7599566.092595061,264.58966,FA_45,syncline exposed
446410.4703296451,7597661.908962101,273.09515,FA_45,syncline exposed
447208.5264168838,7596843.348079646,273.09515,FA_45,syncline exposed
449036.40555987135,7595511.607518379,241.87941,FA_45,syncline exposed
453815.003582146,7593030.914589526,241.03714,FA_45,syncline exposed
456556.6179870451,7592155.712041783,257.0716,FA_45,syncline exposed
419857.78035591356,7656564.310664477,282.44733,FA_48,syncline exposed
415986.12827007327,7659180.450451514,272.7679,FA_48,syncline exposed
414330.3197887749,7660773.775457285,274.00815,FA_48,syncline exposed
413236.8617348706,7662148.408671837,302.03696,FA_48,syncline exposed
412705.7532578907,7663835.458778126,286.088,FA_48,syncline exposed
412455.81985189026,7664522.775436581,289.9847,FA_48,syncline exposed
467278.9389868262,7464906.138037544,399.,FA_53,syncline exposed
468054.8515197098,7464526.436065584,411.,FA_53,syncline exposed
468830.7643632689,7463857.830362456,412.,FA_53,syncline exposed
469425.08048228855,7463205.733436586,411.,FA_53,syncline exposed
470085.4316641309,7462644.434815787,411.,FA_53,syncline exposed
470580.6952677985,7462297.75058783,414.,FA_53,syncline exposed
471042.94116634515,7461992.338039335,424.,FA_53,syncline exposed
471868.3802196601,7461587.872751803,424.,FA_53,syncline exposed
472248.0821823048,7461497.074507984,424.,FA_53,syncline exposed
472751.59999667085,7461645.6535522565,419.,FA_53,syncline exposed
473981.5042532441,7461612.636125995,419.9928,FA_53,syncline exposed
474237.3903385749,7461579.618313698,419.9928,FA_53,syncline exposed
331219.68005924544,7556232.590219022,395.,FA_54,anticline exposed
329963.016504233,7551307.516951348,391.,FA_54,anticline exposed
329479.1585566475,7547334.784426943,395.,FA_54,anticline exposed
329327.6910594757,7545729.229311339,403.,FA_54,anticline exposed
437265.46778081916,7504563.774687533,346.,FA_55,anticline exposed
438004.2573658213,7504333.773858941,335.,FA_55,anticline exposed
439732.7468919028,7504075.894494277,349.,FA_55,anticline exposed
440847.9015067875,7503894.6820032345,349.,FA_55,anticline exposed
442025.7834304592,7503608.923443038,340.,FA_55,anticline exposed
442402.14819046727,7503497.407839596,340.,FA_55,anticline exposed
442813.5648854193,7503318.435916134,348.,FA_55,anticline exposed
443659.95779234427,7502776.215413494,348.,FA_55,anticline exposed
444393.938844764,7501906.678946605,360.,FA_55,anticline exposed
444810.3906819239,7501296.945471106,358.,FA_55,anticline exposed
445198.4971949237,7500339.199018854,358.,FA_55,anticline exposed
394380.0985938236,7620325.379511967,269.60544,FA_60,anticline exposed
392103.4778490178,7624543.116259025,250.91406,FA_60,anticline exposed
389501.7569345413,7629241.703447327,243.93175,FA_60,anticline exposed
387795.6005488802,7631815.397311804,243.06456,FA_60,anticline exposed
305976.3280058168,7446288.625812566,579.9035,FA_61,syncline exposed
301899.46310751233,7444801.4511518795,568.8317,FA_61,syncline exposed
299470.4393430855,7442660.570117822,588.9077,FA_61,syncline exposed
296863.7786974106,7439293.852475693,611.16754,FA_61,syncline exposed
294877.4130829554,7436272.489524285,616.207,FA_61,syncline exposed
289738.15234750323,7430212.262782296,570.1924,FA_61,syncline exposed
287309.06026702747,7428364.214508956,579.71045,FA_61,syncline exposed
283759.9313124968,7425866.802655145,536.21387,FA_61,syncline exposed
416218.2015001975,7593340.852535531,311.02707,FA_62,syncline exposed
413978.0903815695,7594551.347334567,323.9024,FA_62,syncline exposed
409372.6444294653,7597313.223582807,330.1514,FA_62,syncline exposed
407633.4276294343,7598328.926058067,316.8277,FA_62,syncline exposed
