WKT	STATION_ID	DIP	STRIKE
"POINT (589307.9999994437 5627811.999954726)"	"07MBB108"	"30"	"165"
"POINT (590637.0000314465 5627640.000032211)"	"07MBB111"	"80"	"170"
"POINT (591110.0000273549 5627660.999951807)"	"07MBB112"	"55"	"165"
"POINT (591243.0000100026 5627811.000016689)"	"07MBB113"	"70"	"165"
"POINT (605643.9999737849 5624495.000039748)"	"07MBB115"	"15"	"80"
"POINT (605107.9999718908 5627167.999983367)"	"07MBB120"	"50"	"300"
"POINT (604996.0000330443 5627359.999955504)"	"07MBB121"	"55"	"140"
"POINT (604840.9999702841 5627139.000012951)"	"07MBB122"	"40"	"232"
"POINT (605717.0000286116 5626140.000027562)"	"07MBB123"	"58"	"325"
"POINT (590957.9999746712 5629898.999957955)"	"07MBB175"	"27"	"183"
"POINT (590534.9999730841 5628040.999996781)"	"07MBB178"	"85"	"180"
"POINT (590841.0000005455 5629185.00001388)"	"07MBB180"	"62"	"186"
"POINT (591254.9999914897 5628979.99995606)"	"07MBB181"	"63"	"183"
"POINT (601494.3399797896 5627600.050020359)"	"07MBB185"	"15"	"155"
"POINT (601661.0300233737 5628711.009956457)"	"07MBB186"	"27"	"150"
"POINT (601830.3500173043 5629058.590053418)"	"07MBB187"	"20"	"140"
"POINT (601667.4799658699 5629024.819948681)"	"07MBB188"	"15"	"140"
"POINT (601404.0099813512 5627531.729955899)"	"07MBB189"	"68"	"177"
"POINT (589816.3199668613 5633182.31001302)"	"07MBB190"	"15"	"143"
"POINT (589725.560002913 5633143.299990641)"	"07MBB191"	"15"	"155"
"POINT (589455.4300065519 5633248.950013588)"	"07MBB193"	"30"	"150"
"POINT (593259.2200199089 5624852.100024321)"	"07MBB194"	"27"	"165"
"POINT (590839.9999845005 5630391.999971935)"	"07MBB214"	"65"	"174"
"POINT (590575.599997531 5630903.239965058)"	"07MBB215"	"18"	"174"
"POINT (590595.4500099687 5630025.250001181)"	"07MBB217"	"40"	"320"
"POINT (593935.0000263257 5622877.00004494)"	"07MBB218"	"13"	"115"
"POINT (585632.3200234885 5623231.639965206)"	"08MBB465"	"12"	"355"
"POINT (599059.1400215034 5630034.989955178)"	"08MBB555"	"22"	"25"
"POINT (600061.8900193911 5631535.249965308)"	"08MBB556"	"10"	"120"
"POINT (600268.780007805 5632333.820043636)"	"08MBB557"	"30"	"5"
"POINT (600818.6100215093 5632846.860004685)"	"08MBB559"	"25"	"160"
"POINT (601247.759968385 5632233.209975875)"	"08MBB561"	"35"	"160"
"POINT (586441.9999735212 5640093.00000743)"	"08MBB605"	"43"	"168"
"POINT (586006.0000036104 5640014.000021245)"	"08MBB606"	"54"	"160"
"POINT (580002.9999795348 5636051.999985502)"	"08MBB608"	"12"	"170"
"POINT (581123.0000343942 5635507.999959155)"	"08MBB610"	"40"	"170"
