WKT	OBJECTID	dip	strike
"POINT (337235.6157 7611526.7968)"	"205"	"30.0"	"341.0"
"POINT (338656.8849999998 7613463.7665)"	"206"	"45.0"	"304.0"
"POINT (339758.0279999999 7613124.2407)"	"207"	"70.0"	"339.0"
"POINT (322488.6681000004 7608474.011)"	"208"	"30.0"	"318.0"
"POINT (323217.6387 7608521.0041)"	"209"	"19.0"	"315.0"
"POINT (322766.3718999997 7606215.5182)"	"210"	"65.0"	"299.0"
"POINT (321931.9826999996 7604804.5359)"	"211"	"20.0"	"204.0"
"POINT (323154.6848999998 7606052.0144)"	"212"	"15.0"	"326.0"
"POINT (326281.6311999997 7595630.5294)"	"213"	"43.0"	"323.0"
"POINT (326593.8788999999 7595246.5272)"	"214"	"30.0"	"314.0"
"POINT (326665.6890000002 7594831.0273)"	"215"	"30.0"	"322.0"
"POINT (326185.0943999998 7594635.0319)"	"216"	"40.0"	"241.0"
"POINT (326492.2807 7594452.0295)"	"217"	"40.0"	"304.0"
"POINT (327524.4134999998 7595943.0175)"	"218"	"10.0"	"335.0"
"POINT (328058.5636 7594906.0149)"	"219"	"12.0"	"312.0"
"POINT (337577.3559999997 7610289.2836)"	"220"	"35.0"	"340.0"
"POINT (337731.1237000003 7608535.2688)"	"221"	"23.0"	"328.0"
"POINT (339205.6529000001 7611131.746)"	"222"	"52.0"	"330.0"
"POINT (339457.5822000001 7609536.7329)"	"223"	"30.0"	"310.0"
"POINT (340180.2949000001 7608239.2172)"	"224"	"28.0"	"335.0"
"POINT (341418.7346999999 7608982.2101)"	"225"	"45.0"	"344.0"
"POINT (338159.3080000002 7608571.259)"	"226"	"15.0"	"339.0"
"POINT (338236.3995000003 7608281.2556)"	"227"	"24.0"	"331.0"
"POINT (338804.0126999998 7606650.234)"	"228"	"30.0"	"330.0"
"POINT (338683.7926000003 7606274.7346)"	"229"	"20.0"	"337.0"
"POINT (337766.9594999999 7607402.761)"	"230"	"55.0"	"323.0"
"POINT (337763.3073000005 7607999.7647)"	"231"	"32.0"	"315.0"
"POINT (338882.1929000001 7604693.2419)"	"232"	"25.0"	"337.0"
"POINT (338963.0977999996 7603348.2814)"	"233"	"28.0"	"340.0"
"POINT (339891.5043000001 7603824.2583)"	"234"	"30.0"	"347.0"
"POINT (340549.9708000002 7599331.3634)"	"235"	"40.0"	"310.0"
"POINT (343079.8043999998 7599288.2229)"	"236"	"52.0"	"336.0"
"POINT (293311.0757999998 7614063.9217)"	"237"	"5.0"	"314.0"
"POINT (300697.2380999997 7619132.4481)"	"238"	"5.0"	"345.0"
"POINT (301264.6760999998 7619117.9487)"	"239"	"10.0"	"353.0"
"POINT (304420.2023999998 7616962.9495)"	"240"	"11.0"	"354.0"
"POINT (303022.0449999999 7615735.9438)"	"241"	"10.0"	"339.0"
